x-axis,1,2,F1
second,Volt,Volt,Volt
-8.78000E-03,-2.31746742E+00,+2.25796744E+00,-4.55843115E+00
-8.77000E-03,-2.33756793E+00,+2.25796744E+00,-4.57893896E+00
-8.76000E-03,-2.33756793E+00,+2.23786694E+00,-4.55843115E+00
-8.75000E-03,-2.32751767E+00,+2.25796744E+00,-4.56917334E+00
-8.74000E-03,-2.31746742E+00,+2.25796744E+00,-4.55843115E+00
-8.73000E-03,-2.30867345E+00,+2.24791719E+00,-4.53889990E+00
-8.72000E-03,-2.31746742E+00,+2.23786694E+00,-4.53889990E+00
-8.71000E-03,-2.33756793E+00,+2.22907297E+00,-4.54964209E+00
-8.70000E-03,-2.29736692E+00,+2.21776644E+00,-4.49886084E+00
-8.69000E-03,-2.31746742E+00,+2.22907297E+00,-4.52913427E+00
-8.68000E-03,-2.25842220E+00,+2.25796744E+00,-4.49983740E+00
-8.67000E-03,-2.29736692E+00,+2.23786694E+00,-4.51839209E+00
-8.66000E-03,-2.33756793E+00,+2.17882172E+00,-4.49886084E+00
-8.65000E-03,-2.28731667E+00,+2.20897247E+00,-4.47835302E+00
-8.64000E-03,-2.29736692E+00,+2.21776644E+00,-4.49886084E+00
-8.63000E-03,-2.27726642E+00,+2.21776644E+00,-4.47835302E+00
-8.62000E-03,-2.27726642E+00,+2.21776644E+00,-4.47835302E+00
-8.61000E-03,-2.25716592E+00,+2.21776644E+00,-4.45882177E+00
-8.60000E-03,-2.27726642E+00,+2.21776644E+00,-4.47835302E+00
-8.59000E-03,-2.25716592E+00,+2.19766594E+00,-4.43831396E+00
-8.58000E-03,-2.25842220E+00,+2.19766594E+00,-4.43929052E+00
-8.57000E-03,-2.23706541E+00,+2.20771619E+00,-4.42854834E+00
-8.56000E-03,-2.25842220E+00,+2.19766594E+00,-4.43831396E+00
-8.55000E-03,-2.25716592E+00,+2.19766594E+00,-4.43831396E+00
-8.54000E-03,-2.25842220E+00,+2.17756543E+00,-4.41878271E+00
-8.53000E-03,-2.23706541E+00,+2.18887197E+00,-4.40901709E+00
-8.52000E-03,-2.25716592E+00,+2.15872121E+00,-4.39925146E+00
-8.51000E-03,-2.24711567E+00,+2.15746493E+00,-4.38850927E+00
-8.50000E-03,-2.25716592E+00,+2.17756543E+00,-4.41780615E+00
-8.49000E-03,-2.23706541E+00,+2.16877147E+00,-4.38850927E+00
-8.48000E-03,-2.25716592E+00,+2.15872121E+00,-4.39827490E+00
-8.47000E-03,-2.24837195E+00,+2.15746493E+00,-4.38850927E+00
-8.46000E-03,-2.21822119E+00,+2.17756543E+00,-4.37776709E+00
-8.45000E-03,-2.23706541E+00,+2.15746493E+00,-4.37776709E+00
-8.44000E-03,-2.23706541E+00,+2.15746493E+00,-4.37776709E+00
-8.43000E-03,-2.20691466E+00,+2.15746493E+00,-4.34847021E+00
-8.42000E-03,-2.19812069E+00,+2.15746493E+00,-4.33772802E+00
-8.41000E-03,-2.21696491E+00,+2.14741468E+00,-4.34847021E+00
-8.40000E-03,-2.21696491E+00,+2.15746493E+00,-4.35823584E+00
-8.39000E-03,-2.20817094E+00,+2.14741468E+00,-4.33772802E+00
-8.38000E-03,-2.19812069E+00,+2.15746493E+00,-4.33870459E+00
-8.37000E-03,-2.20691466E+00,+2.12857046E+00,-4.31819677E+00
-8.36000E-03,-2.19686441E+00,+2.11852021E+00,-4.29866552E+00
